"country";"crimes"
"Total";163051
"Denmark";124175
"Belgium";40
"Bosnia and Herzegovina";848
"Bulgaria";592
"Estonia";28
"Finland";60
"France";147
"Greece";95
"Ireland";51
"Iceland";279
"Italy";337
"Yugoslavia";1045
"Yugoslavia, Federal Republic";101
"Croatia";122
"Latvia";229
"Lithuania";734
"Netherlands";250
"Macedonia";375
"Norway";305
"Poland";2010
"Portugal";90
"Romania";2119
"Russia";209
"Switzerland";26
"Serbia and Montenegro";51
"Soviet Union";37
"Spain";161
"United Kingdom";389
"Sweden";340
"Czechoslovakia";20
"Turkey";4847
"Germany";661
"Ukraine";478
"Hungary";154
"Austria";36
"Algeria";94
"Egypt";170
"Ethiopia";103
"Ghana";160
"Kenya";68
"Morocco";830
"Nigeria";73
"Somalia";1688
"South Africa";48
"Tanzania";36
"Tunisia";146
"Uganda";99
"Canada";32
"USA";197
"Argentina";113
"Brazil";117
"Chile";75
"Afghanistan";1093
"Philippines";177
"India";290
"Indonesia";24
"Iraq";2485
"Iran";1265
"Israel";68
"Japan";19
"Jordan";250
"China";263
"Kuwait";319
"Lebanon";3252
"Myanmar";63
"Pakistan";1836
"Sri Lanka";443
"Syria";2569
"Thailand";277
"Vietnam";414
"Australia";37